PairID;HatchDate;WeightDate;Age;Vikt
Farallon-4-2021-2;2021-06-20;2021-07-03;13;225
Farallon-4-2021-2;2021-06-20;2021-07-12;22;195
Farallon-4-2021-4;2021-06-23;2021-07-03;10;215
Farallon-4-2021-4;2021-06-23;2021-07-12;19;235
Farallon-4-2021-1;2021-06-20;2021-07-03;13;230
Farallon-4-2021-1;2021-06-20;2021-07-11;21;240
Triangle-5-2021-1;2021-06-26;2021-07-03;7;205
Triangle-5-2021-1;2021-06-26;2021-07-12;16;245
Triangle-5-2021-1;2021-06-26;2021-07-13;17;210
Rost-2-2021-5;2021-06-22;2021-07-04;12;195
Triangle-3-2021-2;2021-06-25;2021-07-04;9;190
Triangle-3-2021-2;2021-06-25;2021-07-11;16;205
Rost-6-2021-2;2021-06-29;2021-07-01;2;115
Rost-6-2021-2;2021-06-29;2021-07-04;5;160
Rost-6-2021-2;2021-06-29;2021-07-12;13;250
Rost-6-2021-2;2021-06-29;2021-07-14;15;220
Triangle-2-2021-6;2021-07-01;2021-07-02;1;90
Triangle-2-2021-6;2021-07-01;2021-07-05;4;110
Triangle-2-2021-6;2021-07-01;2021-07-12;11;175
Triangle-2-2021-6;2021-07-01;2021-07-15;14;150
Farallon-6-2021-2;2021-06-27;2021-07-03;6;135
Farallon-6-2021-2;2021-06-27;2021-07-07;10;180
Farallon-6-2021-2;2021-06-27;2021-07-12;15;200
Farallon-6-2021-3;2021-06-29;2021-07-03;4;110
Farallon-6-2021-3;2021-06-29;2021-07-07;8;145
Farallon-6-2021-3;2021-06-29;2021-07-12;13;215
Farallon-6-2021-3;2021-06-29;2021-07-14;15;180
Bonden-6-2021-5;2021-07-02;2021-07-03;1;75
Bonden-6-2021-5;2021-07-02;2021-07-07;5;135
Bonden-6-2021-5;2021-07-02;2021-07-12;10;185
Bonden-6-2021-5;2021-07-02;2021-07-15;13;165
Bonden-5-2017-1;;2017-07-15;;265
Rost-2-2018-3;2018-06-11;2018-06-26;15;205
Farallon-3-2018-2;2018-06-12;2018-06-26;14;245
Rost-5-2018-2;2018-06-15;2018-07-03;18;255
Bonden-4-2018-4;2018-06-17;2018-07-03;16;275
Bonden-4-2018-1;2018-06-13;2018-07-03;20;260
Bonden-4-2018-2;2018-06-15;2018-07-03;18;220
Bonden-4-2018-3;2018-06-14;2018-07-03;19;265
Farallon-4-2018-2;2018-06-15;2018-07-03;18;245
Rost-3-2018-2;2018-06-12;2018-07-03;21;235
Rost-3-2018-3;2018-06-12;2018-07-03;21;310
Rost-3-2018-4;2018-06-13;2018-07-03;20;275
Farallon-1-2018-3;2018-06-14;2018-07-03;19;240
Farallon-3-2018-4;2018-06-15;2018-07-03;18;220
Triangle-3-2018-1;2018-06-13;2018-07-03;20;245
Triangle-2-2018-2;2018-06-18;2018-07-03;15;250
Triangle-2-2018-1;2018-06-13;2018-07-03;20;280
Rost-5-2018-3;;2018-07-05;;215
Rost-5-2018-3;;2018-07-05;;215
Farallon-3-2018-7;2018-06-25;2018-07-05;10;180
Triangle-1-2018-3;2018-06-23;2018-07-05;12;180
Bonden-5-2018-3;2018-07-03;2018-07-10;7;125
Bonden-6-2018-2;2018-06-28;2018-07-12;14;185
Farallon-5-2018-1;2018-07-02;2018-07-12;10;180
Bonden-1-2020-1;2020-06-14;2020-06-29;15;270
Farallon-6-2020-1;2020-06-28;2020-07-07;9;195
Farallon-4-2020-1;2020-06-22;2020-07-07;15;240
Bonden-2-2020-1;2020-06-20;2020-07-07;17;255
Bonden-3-2020-1;2020-06-22;2020-07-07;15;270
Triangle-3-2020-1;2020-06-21;2020-07-07;16;210
Farallon-3-2020-1;2020-06-20;2020-07-07;17;215
Farallon-3-2020-5;2020-06-26;2020-07-07;11;245
Farallon-3-2020-3;2020-06-23;2020-07-07;14;210
Farallon-3-2020-2;2020-06-20;2020-07-07;17;265
Farallon-1-2020-2;2020-06-21;2020-07-07;16;240
Farallon-1-2020-3;2020-06-20;2020-07-07;17;225
Farallon-2-2020-1;2020-06-24;2020-07-07;13;215
Triangle-2-2020-2;2020-06-22;2020-07-07;15;225
Bonden-4-2020-1;2020-06-20;2020-07-07;17;245
Bonden-4-2020-3;2020-06-24;2020-07-07;13;295
Bonden-5-2020-1;2020-06-21;2020-07-07;16;260
Bonden-5-2020-3;2020-06-22;2020-07-07;15;280
Bonden-5-2020-2;2020-06-20;2020-07-07;17;265
Bonden-6-2020-1;2020-06-22;2020-07-07;15;265
Bonden-6-2020-2;2020-06-21;2020-07-07;16;235
Farallon-2-2020-2;2020-06-28;2020-07-14;16;215
Triangle-2-2020-4;2020-06-28;2020-07-14;16;225
Triangle-2-2020-1;2020-07-04;2020-07-17;13;180
Triangle-2-2020-1;;2020-07-17;;180
Farallon-4-2020-3;2020-07-03;2020-07-17;14;205
Rost-6-2021-1;2021-06-25;2021-07-01;6;210
Rost-6-2021-1;2021-06-25;2021-07-12;17;230
Rost-6-2021-1;2021-06-25;2021-07-14;19;210
Rost-3-2021-1;2021-06-15;2021-06-27;12;220
Rost-3-2021-1;2021-06-15;2021-07-01;16;240
Rost-3-2021-4;2021-06-19;2021-06-27;8;195
Rost-3-2021-4;2021-06-19;2021-07-01;12;250
Rost-3-2021-4;2021-06-19;2021-07-11;22;240
Rost-3-2021-2;2021-06-15;2021-06-27;12;225
Rost-3-2021-2;2021-06-15;2021-07-01;16;240
Rost-3-2021-5;2021-06-21;2021-06-27;6;175
Rost-3-2021-5;2021-06-21;2021-07-01;10;195
Rost-3-2021-3;2021-06-17;2021-06-27;10;220
Rost-3-2021-3;2021-06-17;2021-07-01;14;245
Rost-2-2021-2;2021-06-17;2021-07-01;14;240
Rost-2-2021-4;2021-06-20;2021-07-01;11;240
Rost-2-2021-4;2021-06-20;2021-07-08;18;180
Bonden-1-2021-1;2021-06-09;2021-07-01;22;285
Bonden-2-2021-1;2021-06-19;2021-07-01;12;240
Bonden-2-2021-1;2021-06-19;2021-07-08;19;250
Bonden-3-2021-1;2021-06-19;2021-07-01;12;205
Bonden-3-2021-1;2021-06-19;2021-07-05;16;295
Farallon-1-2021-1;2021-06-17;2021-07-01;14;205
Farallon-1-2021-5;2021-06-20;2021-07-01;11;200
Farallon-1-2021-5;2021-06-20;2021-07-08;18;205
Farallon-1-2021-4;2021-06-21;2021-07-01;10;210
Farallon-1-2021-2;2021-06-19;2021-07-01;12;240
Farallon-1-2021-2;2021-06-19;2021-07-11;22;255
Farallon-1-2021-3;2021-06-19;2021-07-01;12;210
Farallon-1-2021-3;2021-06-19;2021-07-04;15;195
Farallon-2-2021-1;2021-06-17;2021-07-02;15;245
Farallon-2-2021-3;2021-06-22;2021-07-02;10;185
Farallon-2-2021-3;2021-06-22;2021-07-11;19;235
Farallon-2-2021-4;2021-06-25;2021-07-02;7;145
Farallon-2-2021-4;2021-06-25;2021-07-12;17;185
Farallon-2-2021-4;2021-06-25;2021-07-12;17;195
Farallon-2-2021-2;2021-06-20;2021-07-02;12;240
Farallon-2-2021-2;2021-06-20;2021-07-11;21;240
Farallon-3-2021-1;2021-06-15;2021-06-27;12;215
Farallon-3-2021-1;2021-06-15;2021-07-02;17;215
Farallon-3-2021-2;2021-06-18;2021-06-27;9;215
Farallon-3-2021-2;2021-06-18;2021-07-02;14;260
Farallon-3-2021-2;2021-06-18;2021-07-05;17;270
Farallon-3-2021-4;2021-06-21;2021-06-27;6;150
Farallon-3-2021-4;2021-06-21;2021-07-02;11;200
Farallon-3-2021-3;2021-06-19;2021-06-27;8;215
Farallon-3-2021-3;2021-06-19;2021-07-02;13;180
Farallon-3-2021-6;2021-06-21;2021-06-27;6;145
Farallon-3-2021-6;2021-06-21;2021-07-02;11;205
Triangle-3-2021-1;2021-06-18;2021-06-27;9;205
Triangle-3-2021-1;2021-06-18;2021-07-02;14;220
Triangle-2-2021-2;2021-06-20;2021-07-02;12;215
Triangle-2-2021-2;2021-06-20;2021-07-08;18;235
Triangle-2-2021-4;2021-06-21;2021-07-02;11;230
Triangle-2-2021-4;2021-06-21;2021-07-08;17;245
Triangle-2-2021-3;2021-06-20;2021-07-02;12;225
Triangle-2-2021-1;2021-06-18;2021-07-02;14;215
Triangle-2-2021-5;2021-06-21;2021-07-02;11;185
Triangle-2-2021-5;2021-06-21;2021-07-09;18;200
