PairID,Yr,HatchDate
Farallon-2-2016-1,2016,NA
Farallon-3-2016-3,2016,2016-06-15
Rost-3-2016-1,2016,2016-06-16
Rost-3-2016-3,2016,2016-06-14
Triangle-2-2016-3,2016,2016-06-19
Triangle-2-2016-4,2016,2016-07-05
Bonden-1-2017-1,2017,2017-06-05
Bonden-2-2017-1,2017,2017-06-16
Bonden-3-2017-1,2017,2017-06-14
Bonden-4-2017-4,2017,2017-06-21
Bonden-4-2017-3,2017,2017-06-17
Bonden-4-2017-1,2017,2017-06-13
Bonden-4-2017-2,2017,2017-06-13
Bonden-5-2017-1,2017,NA
Bonden-5-2017-3,2017,NA
Bonden-5-2017-2,2017,2017-06-30
Bonden-6-2017-1,2017,NA
Bonden-6-2017-2,2017,NA
Bonden-6-2017-3,2017,NA
Farallon-1-2017-2,2017,NA
Farallon-1-2017-3,2017,NA
Farallon-1-2017-4,2017,2017-06-17
Farallon-1-2017-1,2017,2017-06-11
Farallon-2-2017-1,2017,2017-06-17
Farallon-3-2017-3,2017,NA
Farallon-3-2017-4,2017,NA
Farallon-3-2017-7,2017,2017-06-15
Farallon-3-2017-1,2017,2017-06-15
Farallon-3-2017-5,2017,2017-06-15
Farallon-3-2017-8,2017,2017-06-13
Farallon-3-2017-2,2017,2017-06-12
Farallon-4-2017-1,2017,2017-06-20
Farallon-4-2017-2,2017,2017-06-20
Farallon-5-2017-1,2017,NA
Rost-2-2017-1,2017,NA
Rost-2-2017-5,2017,2017-06-22
Rost-2-2017-4,2017,2017-06-20
Rost-2-2017-3,2017,2017-06-09
Rost-2-2017-2,2017,2017-06-14
Rost-3-2017-1,2017,2017-06-11
Rost-3-2017-5,2017,2017-06-18
Rost-3-2017-2,2017,2017-06-25
Rost-3-2017-3,2017,2017-06-12
Rost-3-2017-4,2017,2017-06-19
Rost-5-2017-5,2017,2017-06-26
Rost-5-2017-4,2017,2017-06-16
Rost-5-2017-3,2017,2017-06-14
Rost-6-2017-1,2017,2017-06-24
