filename	start_time	end_time
Video2019/FARALLON3/FARALLON3_20190501_000001_first.jpg	2019-05-01 00:00:00	2019-05-01 00:30:00
Video2019/FARALLON3/FARALLON3_20190501_003001_first.jpg	2019-05-01 00:30:00	2019-05-01 01:00:00
Video2019/FARALLON3/FARALLON3_20190501_010001_first.jpg	2019-05-01 01:00:00	2019-05-01 01:30:00
Video2019/FARALLON3/FARALLON3_20190501_013001_first.jpg	2019-05-01 01:30:00	2019-05-01 02:00:00
Video2019/FARALLON3/FARALLON3_20190501_020001_first.jpg	2019-05-01 02:00:00	2019-05-01 02:15:00
Video2019/FARALLON3/FARALLON3_20190501_021546_first.jpg	2019-05-01 02:15:00	2019-05-01 02:45:00
Video2019/FARALLON3/FARALLON3_20190501_024546_first.jpg	2019-05-01 02:45:00	2019-05-01 03:15:00
Video2019/FARALLON3/FARALLON3_20190501_031546_first.jpg	2019-05-01 03:15:00	2019-05-01 03:45:00
Video2019/FARALLON3/FARALLON3_20190501_034546_first.jpg	2019-05-01 03:45:00	2019-05-01 04:15:00
Video2019/FARALLON3/FARALLON3_20190501_041546_first.jpg	2019-05-01 04:15:00	2019-05-01 04:31:00
Video2019/FARALLON3/FARALLON3_20190501_043129_first.jpg	2019-05-01 04:31:00	2019-05-01 05:01:00
Video2019/FARALLON3/FARALLON3_20190501_050129_first.jpg	2019-05-01 05:01:00	2019-05-01 05:31:00
Video2019/FARALLON3/FARALLON3_20190501_053129_first.jpg	2019-05-01 05:31:00	2019-05-01 06:01:00
Video2019/FARALLON3/FARALLON3_20190501_060129_first.jpg	2019-05-01 06:01:00	2019-05-01 06:31:00
Video2019/FARALLON3/FARALLON3_20190501_063129_first.jpg	2019-05-01 06:31:00	2019-05-01 06:47:00
Video2019/FARALLON3/FARALLON3_20190501_064715_first.jpg	2019-05-01 06:47:00	2019-05-01 07:17:00
Video2019/FARALLON3/FARALLON3_20190501_071715_first.jpg	2019-05-01 07:17:00	2019-05-01 07:47:00
Video2019/FARALLON3/FARALLON3_20190501_074715_first.jpg	2019-05-01 07:47:00	2019-05-01 08:17:00
Video2019/FARALLON3/FARALLON3_20190501_081715_first.jpg	2019-05-01 08:17:00	2019-05-01 08:47:00
Video2019/FARALLON3/FARALLON3_20190501_084715_first.jpg	2019-05-01 08:47:00	2019-05-01 09:03:00
Video2019/FARALLON3/FARALLON3_20190501_090300_first.jpg	2019-05-01 09:03:00	2019-05-01 09:33:00
Video2019/FARALLON3/FARALLON3_20190501_093300_first.jpg	2019-05-01 09:33:00	2019-05-01 10:03:00
Video2019/FARALLON3/FARALLON3_20190501_100300_first.jpg	2019-05-01 10:03:00	2019-05-01 10:32:00
Video2019/FARALLON3/FARALLON3_20190501_103300_first.jpg	2019-05-01 10:33:00	2019-05-01 11:03:00
Video2019/FARALLON3/FARALLON3_20190501_110300_first.jpg	2019-05-01 11:03:00	2019-05-01 11:18:00
Video2019/FARALLON3/FARALLON3_20190501_111845_first.jpg	2019-05-01 11:18:00	2019-05-01 11:48:00
Video2019/FARALLON3/FARALLON3_20190501_114845_first.jpg	2019-05-01 11:48:00	2019-05-01 12:18:00
Video2019/FARALLON3/FARALLON3_20190501_121845_first.jpg	2019-05-01 12:18:00	2019-05-01 12:48:00
Video2019/FARALLON3/FARALLON3_20190501_124845_first.jpg	2019-05-01 12:48:00	2019-05-01 13:18:00
Video2019/FARALLON3/FARALLON3_20190501_131845_first.jpg	2019-05-01 13:18:00	2019-05-01 13:34:00
Video2019/FARALLON3/FARALLON3_20190501_133429_first.jpg	2019-05-01 13:34:00	2019-05-01 14:04:00
Video2019/FARALLON3/FARALLON3_20190501_140429_first.jpg	2019-05-01 14:04:00	2019-05-01 14:34:00
Video2019/FARALLON3/FARALLON3_20190501_143429_first.jpg	2019-05-01 14:34:00	2019-05-01 15:04:00
